"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os05g0170300",215.152736753093,24.2433298364978,2.60028177619573,9.32334720738086,1.12726744933461e-20,3.02412038632997e-16
"Os04g0179100",107.588422824535,22.3702395767577,2.48482487742924,9.00274292162659,2.20147403211486e-19,2.95294719297727e-15
"Os10g0546100",2284.00836265805,-2.51423948857903,0.325149373741841,-7.73256752625721,1.05398879252272e-14,9.42511911233566e-11
"Os02g0559300",321.442071924008,-2.08409839498198,0.278616562349876,-7.48016692692106,7.4228265967215e-14,4.97830422775619e-10
"Os01g0126100",1363.82745396313,-2.02926141169789,0.275840638086096,-7.35664413256076,1.88591235405443e-13,8.43222845370304e-10
"Os02g0176900",175.265590482645,-2.79028819981881,0.378685811592081,-7.36834630293593,1.72757548673075e-13,8.43222845370304e-10
"Os09g0437500",17448.4472668931,1.93709358856242,0.269691748828896,7.18262088838096,6.83875444762949e-13,2.62090379380795e-09
"Os06g0216300",4123.17698144427,1.27116330700408,0.178782709537379,7.11010203555683,1.15957194595726e-12,3.88847957427443e-09
"Os03g0575200",2620.06901085037,3.37603291721647,0.485276959175762,6.95691986479357,3.47792651631267e-12,9.33023346531199e-09
"Os07g0499500",1690.3304236897,-2.64801216442824,0.380448606164213,-6.9602362093693,3.39702678600848e-12,9.33023346531199e-09
"Os04g0674800",1764.15082506382,-2.50279893250656,0.362245191080526,-6.90912949055599,4.87636696757947e-12,1.18925724217504e-08
"Os04g0472200",870.639008836465,-2.44813288890817,0.356638732405883,-6.86446161467958,6.67424834536383e-12,1.4920838363423e-08
"Os03g0154000",2789.58818762519,1.82564162402335,0.269351988458419,6.77790290122613,1.21932748224641e-11,2.51622295124803e-08
"Os10g0481500",351.656983568779,4.17411064667014,0.617148146426829,6.76354724686034,1.34653434195882e-11,2.58024834226638e-08
"Os10g0323600",139.751744952596,-2.70478038735667,0.402409999129347,-6.72145422133824,1.79919765521475e-11,3.2178050330964e-08
"Os02g0641000",285.784191811251,-2.65033916002073,0.397413898636933,-6.66896444515648,2.57614647881437e-11,4.31939259919708e-08
"Os12g0258700",621.858284920221,5.65181312652645,0.856612869882871,6.59786156061285,4.17130488930414e-11,6.58256448619777e-08
"Os07g0638600",1144.19461872757,-2.56404873478464,0.404356698915588,-6.34105665038061,2.28194605092668e-10,3.28407989463355e-07
"Os08g0140300",481.730359189337,5.51307198423799,0.869828241696409,6.33811564164203,2.32592231699547e-10,3.28407989463355e-07
"Os06g0108600",764.508004404275,-2.47105693782984,0.392545487778111,-6.29495692796403,3.07485227773086e-10,4.12445310273429e-07
"Os02g0280200",984.385529166845,-2.86915401928919,0.458780933189207,-6.25386499683916,4.0041718237962e-10,5.11523416747526e-07
"Os01g0164300",698.458171300643,-2.52587738353233,0.408912926227211,-6.17705438377078,6.53085820734213e-10,7.96378786947124e-07
"Os03g0236200",2372.89107466302,-1.47252572770958,0.241395151505671,-6.10006339615726,1.06026405169943e-09,1.2366827702148e-06
"Os03g0836800",1059.90598963932,-3.75257944348454,0.619408902473103,-6.05832339267595,1.37547651725965e-09,1.53749618868853e-06
"Os08g0208400",202.97607603545,-9.44263359473197,1.56649581005583,-6.02787031673926,1.6613426830979e-09,1.78275360637869e-06
"Os01g0543600",156.879478278819,5.8470587745714,0.982585157216397,5.95068908951948,2.6701588697732e-09,2.50927137359284e-06
"Os01g0557100",3013.26943182741,1.06658997664465,0.179286233304922,5.94909021726528,2.69636997656842e-09,2.50927137359284e-06
"Os03g0831400",426.864847963565,-2.19056320200034,0.367929469700544,-5.95375848469878,2.62053437661059e-09,2.50927137359284e-06
"Os12g0555000",6850.0093616306,6.0056588314077,1.0096747430215,5.94811237273843,2.7125235708127e-09,2.50927137359284e-06
"Os02g0577700",440.007257533966,2.50154702865785,0.425610010991084,5.87755683385524,4.16365786352874e-09,3.72328165016285e-06
"Os06g0293500",718.347990174304,4.15117812145498,0.707095837810773,5.87074325639842,4.33845694797815e-09,3.75444466269064e-06
"Os08g0453200",13174.1163940831,0.812551162858155,0.138571684674861,5.86376044113695,4.52500193553767e-09,3.79350709139591e-06
"Os02g0574800",81.369817135718,7.47560088184777,1.27996960889243,5.84045185910037,5.20594275032373e-09,4.23211594433136e-06
"Os01g0294500",3396.58546220392,-2.07099463416597,0.366116679580706,-5.65665196280534,1.5435431633832e-08,1.20933210693868e-05
"Os10g0456000",6805.60367994714,1.38451283990801,0.244921427282463,5.65288572449516,1.57776209575628e-08,1.20933210693868e-05
"Os02g0212300",85.7071000760425,8.9307201186664,1.58321120631954,5.64088990970918,1.691735074251e-08,1.26067157880365e-05
"Os02g0712500",1166.79017892675,-1.31733335593395,0.234364772710614,-5.62086759327326,1.90000854246729e-08,1.37760889645324e-05
"Os12g0151000",38.9378137584663,7.45140275171689,1.3325505366794,5.59183501609263,2.24682265866425e-08,1.58619767010489e-05
"Os02g0162150",81.9822577249151,-2.97264863923697,0.533049573032783,-5.57668327604899,2.45147617283193e-08,1.68630131509134e-05
"Os02g0763800",211.052336252072,-1.75637539171154,0.31658590735381,-5.54786347374791,2.89181541131516e-08,1.93946830098379e-05
"Os10g0122600",2255.72598419587,-1.35350839804369,0.244406105196306,-5.53794839517841,3.06035399880712e-08,2.00244187136582e-05
"Os12g0163700",1075.69793635194,-2.20855633656941,0.399385049969621,-5.52989236011063,3.20427342947202e-08,2.046691506963e-05
"Os10g0578200",1482.43686679509,-1.48474096771759,0.268884011554596,-5.52186408977361,3.35421905538899e-08,2.09264266509117e-05
"Os03g0134800",280.396843951124,-2.91791743630121,0.530770018587186,-5.49751744468947,3.85175221683304e-08,2.34843083456773e-05
"Os02g0285700",327.721439068537,-2.23852233903355,0.413736358586611,-5.41050428026364,6.28475209370604e-08,3.74668987595226e-05
"Os06g0568600",265.099889509488,5.48622533218418,1.02355671276477,5.35996224123735,8.32393478592346e-08,4.75119571280784e-05
"Os07g0158900",1714.30790209154,1.33607464834704,0.249253356992502,5.36030753795315,8.30803961534413e-08,4.75119571280784e-05
"Os11g0247350",88.514927518749,7.00252930670514,1.31273070827908,5.33432276897453,9.59018039144512e-08,5.35991186169371e-05
"Os02g0529800",335.809450371157,7.46982821215828,1.40471998007993,5.31766353300765,1.05108203874813e-07,5.75456690887676e-05
"Os03g0608000",617.471782691774,-2.85166849750776,0.539375509829122,-5.28698178827436,1.24351014361963e-07,6.67192932457674e-05
"Os01g0206300",71.5098148180888,-4.07468124406769,0.771331536260246,-5.28265869151874,1.27322463260562e-07,6.6974112193943e-05
"Os02g0483500",187.699658547271,1.94821862446132,0.370174647060464,5.2629715188007,1.41745543674156e-07,7.31270711566649e-05
"Os02g0234450",265.562270536841,-2.04591412904764,0.391734391189305,-5.22270746470904,1.76325830598783e-07,8.92508124051611e-05
"Os06g0695700",213.037785597912,-2.86876346290871,0.550099662726259,-5.2149885871431,1.83828552979999e-07,9.13253442739712e-05
"Os01g0275900",794.047003653709,1.46558833515832,0.282347808687371,5.1907197083335,2.0948277233545e-07,0.000102178078789875
"Os01g0157700",220.213915957481,-1.9947701046453,0.385488364994969,-5.17465709936882,2.28329923916064e-07,0.000109382265516005
"Os12g0555500",3401.7576383368,8.65811025393338,1.67915337665756,5.15623550194552,2.51963970293734e-07,0.000118586621597719
"Os10g0111700",576.038710553605,1.46237615953713,0.284052697111822,5.14825655382335,2.62918729476681e-07,0.00012160897854605
"Os07g0542900",670.395543440163,-2.18575722132968,0.425683350589824,-5.13470216371187,2.82591183630762e-07,0.000128492774292584
"Os01g0812100",130.45778641206,-2.76385686707003,0.539294326026837,-5.12495076191936,2.97615512055401e-07,0.000133068855698504
"Os11g0454200",25.3087418036587,7.53867893778093,1.47475334564483,5.11182358734347,3.19063717140848e-07,0.000140320038356353
"Os01g0201100",269.570955759675,1.77454365435714,0.347465252808595,5.10711111402748,3.27121408012311e-07,0.00014154332278623
"Os04g0614600",9628.88746538879,0.693095581611482,0.135884880338397,5.10060854368381,3.38563150583342e-07,0.000144168787947608
"Os03g0347900",1000.17744137327,5.80854240137667,1.14274942490887,5.08295368587902,3.71610336528365e-07,0.000153982084809243
"Os09g0518200",7457.39230120017,1.49649730740734,0.294458558781712,5.08220006780893,3.73088139285078e-07,0.000153982084809243
"Os04g0178400",2040.10584909572,6.46187685951325,1.28574827159643,5.02577137551971,5.01412957159872e-07,0.000203809172753453
"Os07g0209100",806.879857072485,1.76154048838407,0.350758121735274,5.02209465505563,5.11109821450414e-07,0.000204649898209705
"Os01g0674450",293.949039879339,7.52756034749719,1.50310703086133,5.00800022416478,5.49984707215533e-07,0.000216977055006928
"Os06g0314501",261.243686127069,2.55799911373594,0.516086401626847,4.95653267683942,7.17623028220097e-07,0.000279009753305225
"Os07g0538200",2603.88032635584,0.932397180103698,0.18837809571835,4.94960508305464,7.43642186750407e-07,0.000284995556342188
"Os04g0316200",45.2152302900362,7.54964364862349,1.52943531561196,4.93622945119632,7.96473964067494e-07,0.000300943761042798
"Os08g0421850",67.1044962451477,21.6777323308726,4.40862668548673,4.917116797899,8.78281547160008e-07,0.000327245264800855
"Os01g0117600",114.564579766023,1.77759004507999,0.363311749251642,4.8927403221655,9.94415755296697e-07,0.000365440979004719
"Os12g0502000",5258.75348511315,-0.516824742707662,0.105803524337496,-4.88475923598796,1.03555313935077e-06,0.000375416000937338
"Os03g0835150",7243.19866097986,1.07447861085452,0.220258156514465,4.87826933566455,1.07020722323601e-06,0.000382805989036697
"Os06g0494400",226.648966939343,2.49417061575366,0.511670334249364,4.87456561149413,1.09048138757634e-06,0.000384925581375138
"Os02g0327500",771.270954990146,-1.05927982388493,0.218297416084116,-4.85246157690093,1.21938413773715e-06,0.000414081243836386
"Os06g0726200",362.427678458279,4.00123756082512,0.824411178672713,4.85344893948071,1.21332592516944e-06,0.000414081243836386
"Os07g0484200",601.462414802294,-2.32751559811139,0.479337595772457,-4.85569172674756,1.19967214002201e-06,0.000414081243836386
"Os09g0444900",470.115233360369,2.96023003044525,0.610651795139506,4.84765631413394,1.2492858789838e-06,0.000418932403443731
"Os03g0726200",1685.38785673482,0.97342069442813,0.201603914090087,4.82838192314638,1.37646911327648e-06,0.000455883171628001
"Os03g0146800",157.28292244983,-1.48843224453676,0.308493182318007,-4.82484647911092,1.40111148518748e-06,0.000458385583086886
"Os04g0452600",388.932498230382,2.15750208758141,0.44741185841918,4.8221835138756,1.41995215037603e-06,0.00045895248600166
"Os06g0574550",81.3644738943351,-21.236499840072,4.40836830554944,-4.81731524413207,1.45502711804815e-06,0.000464690624950927
"Os01g0643600",29.8867537797689,6.92212245521147,1.44719421627457,4.78313302897981,1.72583824293981e-06,0.000544694853451133
"Os05g0186300",545.198105189858,-1.67968350980602,0.352831495567094,-4.76058268864668,1.93034824374712e-06,0.000600528394012053
"Os05g0456900",43.6154171096607,-20.9809156802551,4.40887087372611,-4.75879568287817,1.94751445480481e-06,0.000600528394012053
"Os01g0248500",944.40062075279,1.74836636277517,0.368013708803826,4.7508185726504,2.02594843897285e-06,0.000617614986049145
"Os01g0627701",315.077946218909,2.82249795846775,0.59482767491914,4.74506832395019,2.084359688332e-06,0.000628282217515535
"Os01g0949900",3655.29510428669,2.09201841388868,0.444210397482482,4.70952149194387,2.4829903233533e-06,0.000740124237828878
"Os05g0542500",634.485331706636,1.8111590811753,0.38537366269228,4.69974794987872,2.60482784091996e-06,0.000767908972399559
"Os01g0660900",87.3318212345801,3.35993409394412,0.721158281783017,4.65907995348387,3.17625824806463e-06,0.000906483830008829
"Os03g0801000",22.0952462272463,7.00659183593205,1.50327895857518,4.66087268498254,3.14871457751488e-06,0.000906483830008829
"Os07g0104750",185.101614226981,-2.82102492308637,0.605145163388256,-4.66173257882659,3.13558454195876e-06,0.000906483830008829
"Os01g0958200",219.954228592324,-2.09502380547401,0.45057914324243,-4.64962445975179,3.32539965074369e-06,0.00093905785716317
"Os10g0473950",383.89566372603,1.13466897113602,0.244595958503665,4.63895224629814,3.501799476497e-06,0.00097857056829151
"Os05g0467700",229.252518098272,2.60333519695133,0.562147949614376,4.63104988417581,3.63816197659142e-06,0.00100619558088678
"Os04g0524500",1313.15255019939,1.61572199869942,0.349240727527466,4.62638481524854,3.72103654031271e-06,0.0010186147680303
"Os02g0569900",208.290005715801,7.47668968948434,1.62251767853971,4.60807902950769,4.06406202562618e-06,0.00110127870668155
"Os10g0139700",775.441954323419,2.02367018900138,0.441023166740037,4.58858024162309,4.4627076611874e-06,0.00119721058426674
"Os07g0416900",3046.112844881,2.3692787739023,0.517589593747395,4.57752397367287,4.70511881910509e-06,0.00124974477782309
"Os06g0469800",65.559203479796,-7.08008215835847,1.54757708161699,-4.57494637421279,4.76341980863473e-06,0.00125282610986514
"Os03g0318400",188.93835482204,3.16601047778829,0.693320841427917,4.56644354043619,4.96068568050272e-06,0.00129204189078492
"Os06g0673500",236.857404796069,0.934058016266249,0.205968082590536,4.53496485726459,5.76130774701884e-06,0.00148614041278149
"Os02g0769800",2001.9363306604,0.939154258039612,0.207399632711993,4.52823491420439,5.94784369898705e-06,0.00151616962360056
"Os07g0418500",559.256949139469,1.59727399650081,0.352854967513028,4.52671534641731,5.9907548403347e-06,0.00151616962360056
"Os03g0348800",371.353784129234,1.88439636385644,0.416633865994232,4.52290732381926,6.09959519948194e-06,0.00152845411392237
"Os12g0555200",2495.06879517331,6.50267558229162,1.43830958137518,4.52105420592023,6.15324278911604e-06,0.00152845411392237
"Os07g0516700",862.153094875765,-1.35624135324937,0.300469884937644,-4.51373472429967,6.36958807093232e-06,0.00156767834109084
"Os02g0208500",648.310273956523,-1.64664352378568,0.365561389317891,-4.50442407732991,6.65531857981669e-06,0.00162311119582493
"Os02g0272300",262.077416571318,-1.55666864989418,0.346070156818672,-4.49813027567649,6.85536874695744e-06,0.00164665657173371
"Os06g0542300",974.280193992004,1.46776799026886,0.326349519575905,4.49753378578966,6.87462392493291e-06,0.00164665657173371
"Os02g0149600",99.945767540286,7.08714808799514,1.58090642516092,4.48296494669111,7.36130251191294e-06,0.00174762533174414
"Os10g0135100",59.1991863674729,4.64888143247772,1.03754217740791,4.48066742124353,7.44099839276024e-06,0.00175104968318052
"Os04g0308000",651.919807232224,-5.63203986509041,1.25811428191778,-4.47657255468503,7.58508984060117e-06,0.00176943656655485
"Os06g0328400",2140.75195437937,0.900154336903687,0.201402425699703,4.46943145682785,7.84277863843064e-06,0.00181377778045844
"Os04g0555700",420.798570607661,-2.24462145746986,0.502729390177109,-4.464870169375,8.01173194155109e-06,0.00183701481022215
"Os07g0129900",273.077333849437,2.56545278992276,0.575137016497206,4.46059411294252,8.17327564656121e-06,0.00185817343873134
"Os03g0674300",763.67755456546,0.559879830713637,0.125578512105675,4.45840471690326,8.25718870014298e-06,0.00186147564082971
"Os04g0506800",675.655990062191,-1.96479269236722,0.441199357360848,-4.45329908030726,8.45608364246086e-06,0.00189042796563581
"Os03g0594100",253.231157245846,6.53894003728178,1.46945496386601,4.44990843413014,8.59069081844842e-06,0.00190464845112823
"Os02g0663800",1392.42016710814,-1.57213849215177,0.354645930911286,-4.43298048877103,9.29392795636178e-06,0.00202705857955543
